block_id,event_id,level,date,time
blk_2276804025,0,INFO,260101,000001
blk_2276804025,1,ERROR,260101,000001
blk_2276804025,2,ERROR,260101,000001
blk_2276804025,3,ERROR,260101,000001
blk_2276804025,4,ERROR,260101,000001
blk_2276804025,5,INFO,260101,000002
blk_3942252583,2,INFO,260101,000003
blk_3942252583,1,INFO,260101,000003
blk_3942252583,3,INFO,260101,000003
blk_3942252583,4,INFO,260101,000003
blk_1398225078,2,INFO,260101,000006
blk_1398225078,6,WARN,260101,000006
blk_1398225078,3,INFO,260101,000006
blk_1398225078,7,WARN,260101,000006
blk_1398225078,4,INFO,260101,000007
blk_1398225078,1,WARN,260101,000007
blk_5007244891,3,INFO,260101,000007
blk_5007244891,7,INFO,260101,000007
blk_5007244891,6,INFO,260101,000007
blk_5007244891,2,INFO,260101,000007
blk_5055130224,6,INFO,260101,000011
blk_5055130224,7,WARN,260101,000011
blk_5055130224,4,INFO,260101,000011
blk_5055130224,1,INFO,260101,000011
blk_5055130224,2,INFO,260101,000012
blk_5055130224,3,INFO,260101,000012
blk_7304193882,2,WARN,260101,000014
blk_7304193882,3,INFO,260101,000014
blk_7304193882,7,INFO,260101,000014
blk_7304193882,6,INFO,260101,000014
blk_7304193882,4,INFO,260101,000015
blk_7304193882,1,WARN,260101,000015
blk_6579762660,6,INFO,260101,000018
blk_6579762660,7,WARN,260101,000018
blk_6579762660,2,WARN,260101,000018
blk_6579762660,4,WARN,260101,000018
blk_2675620223,4,INFO,260101,000022
blk_2675620223,2,WARN,260101,000022
blk_2675620223,1,INFO,260101,000023
blk_2675620223,6,INFO,260101,000023
blk_2675620223,3,WARN,260101,000023
blk_2675620223,7,INFO,260101,000023
blk_1011652671,6,WARN,260101,000023
blk_1011652671,4,INFO,260101,000023
blk_1011652671,2,INFO,260101,000023
blk_1011652671,3,WARN,260101,000023
blk_1011652671,1,WARN,260101,000024
blk_1011652671,7,INFO,260101,000024
blk_4766470263,7,INFO,260101,000025
blk_4766470263,3,WARN,260101,000025
blk_4766470263,6,INFO,260101,000025
blk_4766470263,2,INFO,260101,000025
blk_4766470263,1,INFO,260101,000026
blk_4766470263,4,INFO,260101,000026
blk_5450907620,2,WARN,260101,000029
blk_5450907620,1,INFO,260101,000029
blk_5450907620,4,INFO,260101,000029
blk_5450907620,3,WARN,260101,000029
blk_7602685078,4,WARN,260101,000030
blk_7602685078,2,INFO,260101,000030
blk_7602685078,3,INFO,260101,000030
blk_7602685078,7,INFO,260101,000030
blk_7602685078,1,INFO,260101,000030
blk_7602685078,6,WARN,260101,000031
blk_1571078372,7,WARN,260101,000035
blk_1571078372,6,INFO,260101,000035
blk_1571078372,3,WARN,260101,000035
blk_1571078372,4,INFO,260101,000036
blk_6888337780,2,INFO,260101,000040
blk_6888337780,7,INFO,260101,000040
blk_6888337780,6,WARN,260101,000040
blk_6888337780,1,WARN,260101,000040
blk_4398133260,3,INFO,260101,000044
blk_4398133260,7,INFO,260101,000044
blk_4398133260,4,INFO,260101,000044
blk_4398133260,1,INFO,260101,000045
blk_4398133260,6,INFO,260101,000045
blk_4398133260,2,INFO,260101,000045
blk_4761009125,3,WARN,260101,000045
blk_4761009125,7,INFO,260101,000045
blk_4761009125,6,INFO,260101,000045
blk_4761009125,1,INFO,260101,000045
blk_4761009125,4,INFO,260101,000045
blk_1410435426,6,WARN,260101,000047
blk_1410435426,1,INFO,260101,000047
blk_1410435426,7,INFO,260101,000047
blk_1410435426,2,WARN,260101,000047
blk_1410435426,4,WARN,260101,000048
blk_1410435426,3,INFO,260101,000048
blk_1514835122,1,INFO,260101,000052
blk_1514835122,6,INFO,260101,000052
blk_1514835122,4,INFO,260101,000052
blk_1514835122,7,INFO,260101,000052
blk_1514835122,2,INFO,260101,000052
blk_3212307137,1,ERROR,260101,000053
blk_3212307137,7,INFO,260101,000053
blk_3212307137,4,INFO,260101,000053
blk_3212307137,8,INFO,260101,000053
blk_3212307137,2,ERROR,260101,000053
blk_3212307137,3,WARN,260101,000054
blk_3212307137,6,WARN,260101,000054
blk_5970951659,4,WARN,260101,000058
blk_5970951659,7,INFO,260101,000058
blk_5970951659,6,INFO,260101,000058
blk_5970951659,1,INFO,260101,000058
blk_5970951659,3,INFO,260101,000058
blk_2755756865,2,WARN,260101,000100
blk_2755756865,6,INFO,260101,000100
blk_2755756865,1,WARN,260101,000100
blk_2755756865,7,INFO,260101,000101
blk_1492430052,7,INFO,260101,000104
blk_1492430052,2,INFO,260101,000104
blk_1492430052,4,INFO,260101,000104
blk_1492430052,1,INFO,260101,000104
blk_3957508033,4,INFO,260101,000105
blk_3957508033,7,INFO,260101,000105
blk_3957508033,6,WARN,260101,000105
blk_3957508033,2,INFO,260101,000106
blk_3957508033,3,WARN,260101,000106
blk_3957508033,1,INFO,260101,000106
blk_0839299063,6,INFO,260101,000109
blk_0839299063,2,WARN,260101,000109
blk_0839299063,4,WARN,260101,000109
blk_0839299063,3,INFO,260101,000109
blk_0839299063,1,INFO,260101,000109
blk_0839299063,7,INFO,260101,000109
blk_9180374445,7,INFO,260101,000112
blk_9180374445,4,INFO,260101,000112
blk_9180374445,3,INFO,260101,000112
blk_9180374445,2,INFO,260101,000112
blk_7225608563,6,INFO,260101,000113
blk_7225608563,3,WARN,260101,000113
blk_7225608563,7,INFO,260101,000113
blk_7225608563,2,INFO,260101,000113
blk_2502586201,7,INFO,260101,000118
blk_2502586201,6,INFO,260101,000118
blk_2502586201,3,WARN,260101,000118
blk_2502586201,2,INFO,260101,000118
blk_5454031438,6,INFO,260101,000121
blk_5454031438,4,INFO,260101,000121
blk_5454031438,3,INFO,260101,000121
blk_5454031438,2,INFO,260101,000122
blk_5454031438,1,INFO,260101,000122
blk_5454031438,7,INFO,260101,000122
blk_9822734242,7,INFO,260101,000125
blk_9822734242,1,WARN,260101,000125
blk_9822734242,6,INFO,260101,000125
blk_9822734242,4,WARN,260101,000125
blk_9822734242,3,INFO,260101,000125
blk_9822734242,2,INFO,260101,000125
blk_1664434094,4,INFO,260101,000130
blk_1664434094,7,INFO,260101,000130
blk_1664434094,3,INFO,260101,000130
blk_1664434094,6,WARN,260101,000130
blk_7050555135,6,INFO,260101,000135
blk_7050555135,2,INFO,260101,000135
