block_id,label
blk_2276804025,1
blk_3942252583,0
blk_1398225078,0
blk_5007244891,0
blk_5055130224,0
blk_7304193882,0
blk_6579762660,0
blk_2675620223,0
blk_1011652671,0
blk_4766470263,0
blk_5450907620,0
blk_7602685078,0
blk_1571078372,0
blk_6888337780,0
blk_4398133260,0
blk_4761009125,0
blk_1410435426,0
blk_1514835122,0
blk_3212307137,1
blk_5970951659,0
blk_2755756865,0
blk_1492430052,0
blk_3957508033,0
blk_0839299063,0
blk_9180374445,0
blk_7225608563,0
blk_2502586201,0
blk_5454031438,0
blk_9822734242,0
blk_1664434094,0
blk_7050555135,0
blk_3198794743,0
blk_0363564215,0
blk_3254094893,0
blk_6491952623,0
blk_9048379370,0
blk_0226511393,0
blk_2555543755,1
blk_3331341689,0
blk_0280818276,0
blk_1878706809,0
blk_7191506476,0
blk_5367970020,0
blk_5771172870,0
blk_9775719056,0
blk_0281985501,0
blk_1185687973,0
blk_6533974643,0
blk_6640394595,0
blk_9491210062,0
blk_8513518801,0
blk_6977288423,0
blk_1065641165,0
blk_6194719802,0
blk_2042930698,0
blk_4060857729,0
blk_5734060367,0
blk_6956313456,0
blk_0221804909,0
blk_1430075522,0
blk_6216507956,0
blk_7678868572,0
blk_8061962755,0
blk_2644241576,0
blk_1452556932,0
blk_2079575538,0
blk_4382969417,0
blk_4459687858,0
blk_4986946490,0
blk_9615665563,0
blk_4319092140,0
blk_4230692407,0
blk_4563615081,0
blk_7567417556,0
blk_1778966053,0
blk_0252524716,0
blk_6888052186,0
blk_1176252263,0
blk_1796144157,0
blk_4406256580,0
blk_8256964748,0
blk_7730442492,0
blk_3172206341,0
blk_8736754465,0
blk_9905912045,1
blk_3037454749,0
blk_1133775374,0
blk_6896718168,0
blk_9364690590,0
blk_9806808156,0
blk_2421657608,0
blk_3244819431,0
blk_8473468083,0
blk_8458843669,0
blk_2328129615,0
blk_8400652920,0
blk_0298468446,1
blk_1218685557,0
blk_7929130899,0
blk_6635613697,1
blk_4238590493,0
blk_4540403530,0
blk_9970242778,0
blk_8353724119,0
blk_3491120475,0
blk_7187241869,0
blk_1018879286,0
blk_9810864950,0
blk_0431605966,0
blk_0118610412,0
blk_7862761161,0
blk_0842127462,0
blk_2779103630,0
blk_2513320174,0
blk_9107278486,0
blk_6154857151,0
blk_0015643086,0
blk_4401050794,0
blk_6487644461,0
blk_4247883480,0
blk_9713359206,0
blk_3510435464,0
blk_4731762453,0
blk_7469556201,0
blk_4067378301,0
blk_1000860908,0
blk_3212095973,1
blk_4093551332,0
blk_4655857798,0
blk_1070590506,0
blk_7887704089,0
blk_5005893367,0
blk_4482816381,0
blk_4645009718,0
blk_6001821552,0
blk_6758452676,0
blk_6977772798,0
blk_4170871214,0
blk_4600436234,0
blk_7904950561,0
blk_3630757463,1
blk_6099173724,0
blk_7131734496,0
blk_6010661134,0
blk_3979533316,0
blk_7242861150,0
blk_3440896260,0
blk_0481490294,0
blk_3228287429,1
blk_2804383400,0
blk_6453601055,0
blk_2848906008,0
blk_7382686042,0
blk_2002012673,0
blk_7708343562,0
blk_1966327002,0
blk_6325155273,0
blk_6864618617,0
blk_7264632797,1
blk_3888468515,0
blk_9977099560,1
blk_8884335828,0
blk_3844770137,0
blk_0885021510,0
blk_5187665315,0
blk_8010553416,0
blk_1187925560,0
blk_3476068017,0
blk_7072334392,0
blk_7590538874,1
blk_7149041847,0
blk_7375288641,0
blk_2599317045,0
blk_3688197306,0
blk_2624536468,0
blk_4108454382,0
blk_6696877017,0
blk_0618803534,0
blk_5114834699,0
blk_6339033447,0
blk_7453318973,0
blk_8892707645,0
blk_3761816822,0
blk_0695298507,0
blk_2822534994,0
blk_4614282628,1
blk_2323192691,0
blk_1315901308,0
blk_3491330962,1
blk_3674781219,0
blk_4765391387,0
blk_9299841902,0
blk_6827225489,0
blk_1632404836,0
blk_3313878769,0
blk_7659450644,0
blk_2671164109,0
blk_6999953415,0
blk_0319088751,0
blk_4139269352,0
blk_3096000358,0
blk_4998413869,0
blk_5662821990,0
blk_0234407740,0
blk_8747475845,0
blk_7338334572,0
blk_1976154249,0
blk_7943828196,0
blk_0710015927,0
blk_5972551263,0
blk_8689933510,0
blk_7226916890,0
blk_7753635769,0
blk_4030783506,1
blk_5661425402,1
blk_7348294954,0
blk_8172635375,0
