block_id,label,anomaly_score,predicted_anomaly
blk_7642065227,0,-0.09198870163485573,0
blk_7644747861,0,-0.006589134632528415,0
blk_7646589570,0,-0.09389847227386178,0
blk_7648379533,0,-0.08173528954059378,0
blk_7649162294,0,-0.07485505359758227,0
blk_7659450644,0,-0.025742874374865887,0
blk_7661821452,0,-0.060395278748607506,0
blk_7662772152,0,-0.10311503836278285,0
blk_7671000562,0,-0.11576381575225503,0
blk_7676607140,0,-0.1877219129798554,0
blk_7678868572,0,-0.03118630033430847,0
blk_7679766325,0,-0.17964127958619586,0
blk_7680276774,1,0.050167511120971287,1
blk_7682948093,0,-0.18709552355789605,0
blk_7684469354,0,-0.08173528954059378,0
blk_7693547406,0,-0.11094102134199241,0
blk_7700182277,0,-0.08893975833849732,0
blk_7703326150,0,-0.03118630033430847,0
blk_7704751096,0,-0.021539113654370556,0
blk_7708343562,0,-0.11215088678453833,0
blk_7716645056,0,-0.17964127958619586,0
blk_7717084876,0,-0.09389847227386178,0
blk_7729119624,0,-0.021539113654370556,0
blk_7730442492,0,-0.09198870163485573,0
blk_7732358223,0,-0.02340894014571404,0
blk_7732785066,0,-0.09099141962205148,0
blk_7739171536,0,-0.029135910239112994,0
blk_7753635769,0,-0.023716236424701886,0
blk_7760021700,0,-0.11576381575225503,0
blk_7766814202,1,0.07954224072801364,1
blk_7769792206,0,-0.02803776118082002,0
blk_7771503901,0,-0.025742874374865887,0
blk_7772667546,0,-0.11094102134199241,0
blk_7773178722,0,-0.17964127958619586,0
blk_7774848995,1,0.05236681969407264,1
blk_7778133080,0,-0.1877219129798554,0
blk_7779891897,0,-0.024026329828113924,0
blk_7782761940,0,-0.03692217186916613,0
blk_7785990989,0,-0.09518596747839203,0
blk_7786411122,0,-0.18709552355789605,0
blk_7799781543,0,-0.1093236996088921,0
blk_7819017365,0,-0.05523623987956172,0
blk_7822466845,1,0.14067583102760928,1
blk_7825019586,1,0.05917206462923108,1
blk_7835172935,0,-0.17964127958619586,0
blk_7846294580,0,-0.12704142079644787,0
blk_7857898188,0,-0.032417746598281116,0
blk_7858557993,0,-0.10311503836278285,0
blk_7862761161,0,-0.12704142079644787,0
blk_7864625527,0,-0.025742874374865887,0
blk_7881930317,0,-0.16344703435349667,0
blk_7887704089,0,-0.10838558396207243,0
blk_7892443351,0,-0.030645442418917646,0
blk_7898098936,0,-0.10311503836278285,0
blk_7904632905,0,-0.02803776118082002,0
blk_7904950561,0,-0.012039391185761361,0
blk_7906882849,0,-0.015180257000465547,0
blk_7917535892,0,-0.1877219129798554,0
blk_7917996638,0,-0.16344703435349667,0
blk_7922700786,0,-0.042461308089185856,0
blk_7929130899,0,-0.11094102134199241,0
blk_7930694077,0,-0.18709552355789605,0
blk_7933585764,0,-0.07130494871926107,0
blk_7936019250,0,-0.042461308089185856,0
blk_7937864998,0,-0.11560429688366447,0
blk_7938587271,0,-0.1877219129798554,0
blk_7939106699,0,-0.07861623675432744,0
blk_7941061379,0,-0.03589685280282162,0
blk_7943828196,0,-0.11576381575225503,0
blk_7943838342,0,-0.08173528954059378,0
blk_7944915523,0,-0.11560429688366447,0
blk_7951242903,0,-0.1877219129798554,0
blk_7962847729,0,-0.1877219129798554,0
blk_7979280083,0,-0.1877219129798554,0
blk_7983783059,0,-0.1877219129798554,0
blk_7991997343,0,-0.09099141962205148,0
blk_7994631023,0,-0.002819812091065077,0
blk_8007446916,0,0.0019194292010715763,1
blk_8007913280,0,-0.17964127958619586,0
blk_8010553416,0,-0.042461308089185856,0
blk_8010873770,0,-0.03589685280282162,0
blk_8015529502,0,-0.10838558396207243,0
